SIZE: 1000
[MOV] -> 6767834
[MOV] <- 6769024
[MOV] -> 7633951
[MOV] <- 7634835
[MOV] -> 8499827
[MOV] <- 8500488
[MOV] -> 9365772
[MOV] <- 9366641
[MOV] -> 10231817
[MOV] <- 10232678
[MOV] -> 11097763
[MOV] <- 11098356
[CPY] -> 54299943
[CPY] <- 54300739
[CPY] -> 55165839
[CPY] <- 55166593
[CPY] -> 56031743
[CPY] <- 56032524
[CPY] -> 56897611
[CPY] <- 56898314
[CPY] -> 57763491
[CPY] <- 57764503
[CPY] -> 58629479
[CPY] <- 58630358
[CPY] -> 59495399
[CPY] <- 59495960

SIZE: 2000
[MOV] -> 6758257
[MOV] <- 6759558
[MOV] -> 7588054
[MOV] <- 7588904
[MOV] -> 8417835
[MOV] <- 8418619
[MOV] -> 9247722
[MOV] <- 9248458
[MOV] -> 10077504
[MOV] <- 10078256
[MOV] -> 10907362
[MOV] <- 10908200
[CPY] -> 52309149
[CPY] <- 52309903
[CPY] -> 53139021
[CPY] <- 53139762
[CPY] -> 53968876
[CPY] <- 53969699
[CPY] -> 54798767
[CPY] <- 54799783
[CPY] -> 55628661
[CPY] <- 55629430
[CPY] -> 56458654
[CPY] <- 56459365
[CPY] -> 57288594
[CPY] <- 57289300

SIZE: 4000
[MOV] -> 6786230
[MOV] <- 6787543
[MOV] -> 7616219
[MOV] <- 7616909
[MOV] -> 8446312
[MOV] <- 8446982
[MOV] -> 9276123
[MOV] <- 9276900
[MOV] -> 10105536
[MOV] <- 10106206
[MOV] -> 10935307
[MOV] <- 10935938
[CPY] -> 52338988
[CPY] <- 52339827
[CPY] -> 53166271
[CPY] <- 53167224
[CPY] -> 53996138
[CPY] <- 53996971
[CPY] -> 54826691
[CPY] <- 54827831
[CPY] -> 55656322
[CPY] <- 55657112
[CPY] -> 56486507
[CPY] <- 56487294
[CPY] -> 57316690
[CPY] <- 57317425


SIZE: 8000
[MOV] -> 6822653
[MOV] <- 6823963
[MOV] -> 7652556
[MOV] <- 7653410
[MOV] -> 8481485
[MOV] <- 8482184
[MOV] -> 9311278
[MOV] <- 9311955
[MOV] -> 10141959
[MOV] <- 10142672
[MOV] -> 10971794
[MOV] <- 10972511
[CPY] -> 52370493
[CPY] <- 52371712
[CPY] -> 53200612
[CPY] <- 53201753
[CPY] -> 54031524
[CPY] <- 54032682
[CPY] -> 54862138
[CPY] <- 54863625
[CPY] -> 55692476
[CPY] <- 55693575
[CPY] -> 56523112
[CPY] <- 56524190
[CPY] -> 57353735
[CPY] <- 57354740

SIZE: 16000
[MOV] -> 6842401
[MOV] <- 6843724
[MOV] -> 7708317
[MOV] <- 7709126
[MOV] -> 8572422
[MOV] <- 8573310
[MOV] -> 9440153
[MOV] <- 9440942
[MOV] -> 10304114
[MOV] <- 10304851
[MOV] -> 11170099
[MOV] <- 11170885
[CPY] -> 54367232
[CPY] <- 54368817
[CPY] -> 55234154
[CPY] <- 55235729
[CPY] -> 56100606
[CPY] <- 56102132
[CPY] -> 56967844
[CPY] <- 56969702
[CPY] -> 57835150
[CPY] <- 57836724
[CPY] -> 58702484
[CPY] <- 58703970
[CPY] -> 59570665
[CPY] <- 59572136

SIZE: 32000
[MOV] -> 6915415
[MOV] <- 6916810
[MOV] -> 7756291
[MOV] <- 7757082
[MOV] -> 8618606
[MOV] <- 8619333
[MOV] -> 9509501
[MOV] <- 9510350
[MOV] -> 10375365
[MOV] <- 10376079
[MOV] -> 11244940
[MOV] <- 11245733
[CPY] -> 54434573
[CPY] <- 54436965
[CPY] -> 55303225
[CPY] <- 55305761
[CPY] -> 56169884
[CPY] <- 56172213
[CPY] -> 57038546
[CPY] <- 57041232
[CPY] -> 57907308
[CPY] <- 57909789
[CPY] -> 58776031
[CPY] <- 58778389
[CPY] -> 59649093
[CPY] <- 59651713

SIZE: 64000
[MOV] -> 7138933
[MOV] <- 7140211
[MOV] -> 7959696
[MOV] <- 7960457
[MOV] -> 8798641
[MOV] <- 8799331
[MOV] -> 9619300
[MOV] <- 9619997
[MOV] -> 10458386
[MOV] <- 10459107
[MOV] -> 11216530
[MOV] <- 11217239
[CPY] -> 52663271
[CPY] <- 52669036
[CPY] -> 53509313
[CPY] <- 53514940
[CPY] -> 54357596
[CPY] <- 54363433
[CPY] -> 55207042
[CPY] <- 55213184
[CPY] -> 56055432
[CPY] <- 56061319
[CPY] -> 56904700
[CPY] <- 56910426
[CPY] -> 57755081
[CPY] <- 57760900

SIZE: 128000
[MOV] -> 7138933
[MOV] <- 7140211
[MOV] -> 7959696
[MOV] <- 7960457
[MOV] -> 8798641
[MOV] <- 8799331
[MOV] -> 9619300
[MOV] <- 9619997
[MOV] -> 10458386
[MOV] <- 10459107
[MOV] -> 11216530
[MOV] <- 11217239
[CPY] -> 52663271
[CPY] <- 52669036
[CPY] -> 53509313
[CPY] <- 53514940
[CPY] -> 54357596
[CPY] <- 54363433
[CPY] -> 55207042
[CPY] <- 55213184
[CPY] -> 56055432
[CPY] <- 56061319
[CPY] -> 56904700
[CPY] <- 56910426
[CPY] -> 57755081
[CPY] <- 57760900
