TITLE: Interpolation of Copying vs Moving for Differently Sized Messages
XAXIS: Message Size
YAXIS: Latency (microseconds)
YMIN: 12
YMAX: 22

SIZE: 4000
[MOV] -> 50069983
[MOV] <- 50070740
[MOV] -> 50936040
[MOV] <- 50936794
[MOV] -> 51801014
[MOV] <- 51801800
[MOV] -> 52668022
[MOV] <- 52668825
[MOV] -> 53533004
[MOV] <- 53533808
[MOV] -> 54400010
[MOV] <- 54400864
[MOV] -> 55265998
[MOV] <- 55266762
[MOV] -> 56132015
[MOV] <- 56132804
[MOV] -> 56998031
[MOV] <- 56998879
[MOV] -> 57863988
[MOV] <- 57864834
[CPY] -> 76009647
[CPY] <- 76010390
[CPY] -> 76875619
[CPY] <- 76876384
[CPY] -> 77741685
[CPY] <- 77742468
[CPY] -> 78607719
[CPY] <- 78608502
[CPY] -> 79473757
[CPY] <- 79474498
[CPY] -> 80339801
[CPY] <- 80340559
[CPY] -> 81205833
[CPY] <- 81206619
[CPY] -> 82071875
[CPY] <- 82072619
[CPY] -> 82937920
[CPY] <- 82938681
[CPY] -> 83803934
[CPY] <- 83804686

SIZE: 5000
[MOV] -> 93312551
[MOV] <- 93313860
[MOV] -> 94178559
[MOV] <- 94179455
[MOV] -> 95044487
[MOV] <- 95045350
[MOV] -> 95910463
[MOV] <- 95911238
[MOV] -> 96776433
[MOV] <- 96777299
[MOV] -> 97642422
[MOV] <- 97643175
[MOV] -> 98508355
[MOV] <- 98509210
[MOV] -> 99374305
[MOV] <- 99375139
[MOV] -> 100240267
[MOV] <- 100241115
[MOV] -> 101106264
[MOV] <- 101107090
[CPY] -> 119251795
[CPY] <- 119252620
[CPY] -> 120117943
[CPY] <- 120118738
[CPY] -> 120984052
[CPY] <- 120984844
[CPY] -> 121850118
[CPY] <- 121850956
[CPY] -> 122716160
[CPY] <- 122717004
[CPY] -> 123582212
[CPY] <- 123582993
[CPY] -> 124448289
[CPY] <- 124449057
[CPY] -> 125314299
[CPY] <- 125315051
[CPY] -> 126180355
[CPY] <- 126181122
[CPY] -> 127046444
[CPY] <- 127047245

SIZE: 6000
[MOV] -> 136553727
[MOV] <- 136554811
[MOV] -> 137421405
[MOV] <- 137422154
[MOV] -> 138287297
[MOV] <- 138288032
[MOV] -> 139153358
[MOV] <- 139154110
[MOV] -> 140019370
[MOV] <- 140020218
[MOV] -> 140885350
[MOV] <- 140886077
[MOV] -> 141751361
[MOV] <- 141752097
[MOV] -> 142617391
[MOV] <- 142618145
[MOV] -> 143483399
[MOV] <- 143484125
[MOV] -> 144349641
[MOV] <- 144350419
[CPY] -> 162494833
[CPY] <- 162495733
[CPY] -> 163360872
[CPY] <- 163361934
[CPY] -> 164227016
[CPY] <- 164227772
[CPY] -> 165093100
[CPY] <- 165093848
[CPY] -> 165959213
[CPY] <- 165959966
[CPY] -> 166825323
[CPY] <- 166826105
[CPY] -> 167691437
[CPY] <- 167692226
[CPY] -> 168557519
[CPY] <- 168558305
[CPY] -> 169423629
[CPY] <- 169424468
[CPY] -> 170289704
[CPY] <- 170290452

SIZE: 7000
[MOV] -> 179798643
[MOV] <- 179799632
[MOV] -> 180664660
[MOV] <- 180665540
[MOV] -> 181530776
[MOV] <- 181531535
[MOV] -> 182396784
[MOV] <- 182397554
[MOV] -> 183262774
[MOV] <- 183263530
[MOV] -> 184128753
[MOV] <- 184129543
[MOV] -> 184994987
[MOV] <- 184995830
[MOV] -> 185860755
[MOV] <- 185861544
[MOV] -> 186724966
[MOV] <- 186725739
[MOV] -> 187592714
[MOV] <- 187593515
[CPY] -> 205737879
[CPY] <- 205738713
[CPY] -> 206603990
[CPY] <- 206604805
[CPY] -> 207470358
[CPY] <- 207471155
[CPY] -> 208336397
[CPY] <- 208337219
[CPY] -> 209202525
[CPY] <- 209203391
[CPY] -> 210068653
[CPY] <- 210069501
[CPY] -> 210934816
[CPY] <- 210935594
[CPY] -> 211800933
[CPY] <- 211801714
[CPY] -> 212667067
[CPY] <- 212667846
[CPY] -> 213533205
[CPY] <- 213534013

SIZE: 8000
[MOV] -> 223040321
[MOV] <- 223041392
[MOV] -> 223908256
[MOV] <- 223909059
[MOV] -> 224774240
[MOV] <- 224775295
