TITLE: K2K, 4 Actors (1x Sender, 2x Forward, 1x Receiver) with forward-semantics
YAXIS: Latency (microseconds)
XAXIS: Message Size

SIZE: 1
[MOV] -> 6862282
[MOV] <- 6865728
[MOV] -> 7693493
[MOV] <- 7696944
[MOV] -> 8524744
[MOV] <- 8528271
[MOV] -> 9355996
[MOV] <- 9359962
[MOV] -> 10187466
[MOV] <- 10191624
[CPY] -> 52419416
[CPY] <- 52423201
[CPY] -> 53250780
[CPY] <- 53254784
[CPY] -> 54082193
[CPY] <- 54086140
[CPY] -> 54913889
[CPY] <- 54917395
[CPY] -> 55745538
[CPY] <- 55749446

SIZE: 1000
[MOV] -> 6823330
[MOV] <- 6826506
[MOV] -> 7690222
[MOV] <- 7694183
[MOV] -> 8557397
[MOV] <- 8561337
[MOV] -> 9424767
[MOV] <- 9428459
[MOV] -> 10291964
[MOV] <- 10295659
[CPY] -> 54359368
[CPY] <- 54364596
[CPY] -> 55226635
[CPY] <- 55231655
[CPY] -> 56093912
[CPY] <- 56098937
[CPY] -> 56961354
[CPY] <- 56966340
[CPY] -> 57828638
[CPY] <- 57833667

SIZE: 10000
[MOV] -> 6822586
[MOV] <- 6825774
[MOV] -> 7688766
[MOV] <- 7692840
[MOV] -> 8556737
[MOV] <- 8560333
[MOV] -> 9423415
[MOV] <- 9427583
[MOV] -> 10290943
[MOV] <- 10294240
[CPY] -> 54357706
[CPY] <- 54386955
[CPY] -> 55225426
[CPY] <- 55253422
[CPY] -> 56093240
[CPY] <- 56121146
[CPY] -> 56961178
[CPY] <- 56989095
[CPY] -> 57829041
[CPY] <- 57856894

SIZE: 25000
[MOV] -> 6857180
[MOV] <- 6860233
[MOV] -> 7689209
[MOV] <- 7693208
[MOV] -> 8519468
[MOV] <- 8523654
[MOV] -> 9350593
[MOV] <- 9354458
[MOV] -> 10181962
[MOV] <- 10186347
[CPY] -> 52412744
[CPY] <- 52480108
[CPY] -> 53245843
[CPY] <- 53312479
[CPY] -> 54079076
[CPY] <- 54145411
[CPY] -> 54912243
[CPY] <- 54978596
[CPY] -> 55745447
[CPY] <- 55811750
