id,size,op,start_tick,end_tick,duration_s
0,1000,MOV,6767834,6769024,2.2037037037037038e-05
1,1000,MOV,7633951,7634835,1.637037037037037e-05
2,1000,MOV,8499827,8500488,1.224074074074074e-05
3,1000,MOV,9365772,9366641,1.6092592592592592e-05
4,1000,MOV,10231817,10232678,1.5944444444444445e-05
5,1000,MOV,11097763,11098356,1.0981481481481482e-05
6,1000,CPY,54299943,54300739,1.4740740740740741e-05
7,1000,CPY,55165839,55166593,1.3962962962962963e-05
8,1000,CPY,56031743,56032524,1.4462962962962963e-05
9,1000,CPY,56897611,56898314,1.3018518518518518e-05
10,1000,CPY,57763491,57764503,1.8740740740740742e-05
11,1000,CPY,58629479,58630358,1.6277777777777777e-05
12,1000,CPY,59495399,59495960,1.038888888888889e-05
13,2000,MOV,6758257,6759558,2.4092592592592593e-05
14,2000,MOV,7588054,7588904,1.574074074074074e-05
15,2000,MOV,8417835,8418619,1.451851851851852e-05
16,2000,MOV,9247722,9248458,1.3629629629629629e-05
17,2000,MOV,10077504,10078256,1.3925925925925926e-05
18,2000,MOV,10907362,10908200,1.551851851851852e-05
19,2000,CPY,52309149,52309903,1.3962962962962963e-05
20,2000,CPY,53139021,53139762,1.3722222222222222e-05
21,2000,CPY,53968876,53969699,1.524074074074074e-05
22,2000,CPY,54798767,54799783,1.8814814814814816e-05
23,2000,CPY,55628661,55629430,1.4240740740740741e-05
24,2000,CPY,56458654,56459365,1.3166666666666667e-05
25,2000,CPY,57288594,57289300,1.3074074074074074e-05
26,4000,MOV,6786230,6787543,2.4314814814814814e-05
27,4000,MOV,7616219,7616909,1.2777777777777777e-05
28,4000,MOV,8446312,8446982,1.2407407407407408e-05
29,4000,MOV,9276123,9276900,1.4388888888888888e-05
30,4000,MOV,10105536,10106206,1.2407407407407408e-05
31,4000,MOV,10935307,10935938,1.1685185185185185e-05
32,4000,CPY,52338988,52339827,1.5537037037037036e-05
33,4000,CPY,53166271,53167224,1.764814814814815e-05
34,4000,CPY,53996138,53996971,1.5425925925925927e-05
35,4000,CPY,54826691,54827831,2.111111111111111e-05
36,4000,CPY,55656322,55657112,1.462962962962963e-05
37,4000,CPY,56486507,56487294,1.4574074074074074e-05
38,4000,CPY,57316690,57317425,1.3611111111111111e-05
39,8000,MOV,6822653,6823963,2.425925925925926e-05
40,8000,MOV,7652556,7653410,1.5814814814814814e-05
41,8000,MOV,8481485,8482184,1.2944444444444445e-05
42,8000,MOV,9311278,9311955,1.2537037037037037e-05
43,8000,MOV,10141959,10142672,1.3203703703703704e-05
44,8000,MOV,10971794,10972511,1.3277777777777777e-05
45,8000,CPY,52370493,52371712,2.2574074074074075e-05
46,8000,CPY,53200612,53201753,2.112962962962963e-05
47,8000,CPY,54031524,54032682,2.1444444444444443e-05
48,8000,CPY,54862138,54863625,2.7537037037037036e-05
49,8000,CPY,55692476,55693575,2.0351851851851853e-05
50,8000,CPY,56523112,56524190,1.9962962962962963e-05
51,8000,CPY,57353735,57354740,1.861111111111111e-05
52,16000,MOV,6842401,6843724,2.45e-05
53,16000,MOV,7708317,7709126,1.4981481481481481e-05
54,16000,MOV,8572422,8573310,1.6444444444444444e-05
55,16000,MOV,9440153,9440942,1.461111111111111e-05
56,16000,MOV,10304114,10304851,1.3648148148148148e-05
57,16000,MOV,11170099,11170885,1.4555555555555556e-05
58,16000,CPY,54367232,54368817,2.9351851851851852e-05
59,16000,CPY,55234154,55235729,2.9166666666666666e-05
60,16000,CPY,56100606,56102132,2.825925925925926e-05
61,16000,CPY,56967844,56969702,3.440740740740741e-05
62,16000,CPY,57835150,57836724,2.9148148148148147e-05
63,16000,CPY,58702484,58703970,2.751851851851852e-05
64,16000,CPY,59570665,59572136,2.7240740740740742e-05
65,32000,MOV,6915415,6916810,2.5833333333333332e-05
66,32000,MOV,7756291,7757082,1.4648148148148149e-05
67,32000,MOV,8618606,8619333,1.3462962962962963e-05
68,32000,MOV,9509501,9510350,1.572222222222222e-05
69,32000,MOV,10375365,10376079,1.3222222222222223e-05
70,32000,MOV,11244940,11245733,1.4685185185185186e-05
71,32000,CPY,54434573,54436965,4.42962962962963e-05
72,32000,CPY,55303225,55305761,4.6962962962962966e-05
73,32000,CPY,56169884,56172213,4.312962962962963e-05
74,32000,CPY,57038546,57041232,4.974074074074074e-05
75,32000,CPY,57907308,57909789,4.594444444444444e-05
76,32000,CPY,58776031,58778389,4.3666666666666666e-05
77,32000,CPY,59649093,59651713,4.851851851851852e-05
78,64000,MOV,7138933,7140211,2.3666666666666668e-05
79,64000,MOV,7959696,7960457,1.4092592592592592e-05
80,64000,MOV,8798641,8799331,1.2777777777777777e-05
81,64000,MOV,9619300,9619997,1.2907407407407408e-05
82,64000,MOV,10458386,10459107,1.3351851851851853e-05
83,64000,MOV,11216530,11217239,1.312962962962963e-05
84,64000,CPY,52663271,52669036,0.00010675925925925926
85,64000,CPY,53509313,53514940,0.0001042037037037037
86,64000,CPY,54357596,54363433,0.0001080925925925926
87,64000,CPY,55207042,55213184,0.00011374074074074074
88,64000,CPY,56055432,56061319,0.00010901851851851852
89,64000,CPY,56904700,56910426,0.00010603703703703704
90,64000,CPY,57755081,57760900,0.00010775925925925925
91,128000,MOV,7138933,7140211,2.3666666666666668e-05
92,128000,MOV,7959696,7960457,1.4092592592592592e-05
93,128000,MOV,8798641,8799331,1.2777777777777777e-05
94,128000,MOV,9619300,9619997,1.2907407407407408e-05
95,128000,MOV,10458386,10459107,1.3351851851851853e-05
96,128000,MOV,11216530,11217239,1.312962962962963e-05
97,128000,CPY,52663271,52669036,0.00010675925925925926
98,128000,CPY,53509313,53514940,0.0001042037037037037
99,128000,CPY,54357596,54363433,0.0001080925925925926
100,128000,CPY,55207042,55213184,0.00011374074074074074
101,128000,CPY,56055432,56061319,0.00010901851851851852
102,128000,CPY,56904700,56910426,0.00010603703703703704
103,128000,CPY,57755081,57760900,0.00010775925925925925
