id,size,op,start_tick,end_tick,duration_s
0,4000,MOV,50069983,50070740,1.4018518518518519e-05
1,4000,MOV,50936040,50936794,1.3962962962962963e-05
2,4000,MOV,51801014,51801800,1.4555555555555556e-05
3,4000,MOV,52668022,52668825,1.4870370370370371e-05
4,4000,MOV,53533004,53533808,1.4888888888888888e-05
5,4000,MOV,54400010,54400864,1.5814814814814814e-05
6,4000,MOV,55265998,55266762,1.4148148148148148e-05
7,4000,MOV,56132015,56132804,1.461111111111111e-05
8,4000,MOV,56998031,56998879,1.5703703703703705e-05
9,4000,MOV,57863988,57864834,1.5666666666666667e-05
10,4000,CPY,76009647,76010390,1.375925925925926e-05
11,4000,CPY,76875619,76876384,1.4166666666666666e-05
12,4000,CPY,77741685,77742468,1.45e-05
13,4000,CPY,78607719,78608502,1.45e-05
14,4000,CPY,79473757,79474498,1.3722222222222222e-05
15,4000,CPY,80339801,80340559,1.4037037037037037e-05
16,4000,CPY,81205833,81206619,1.4555555555555556e-05
17,4000,CPY,82071875,82072619,1.3777777777777778e-05
18,4000,CPY,82937920,82938681,1.4092592592592592e-05
19,4000,CPY,83803934,83804686,1.3925925925925926e-05
20,5000,MOV,93312551,93313860,2.424074074074074e-05
21,5000,MOV,94178559,94179455,1.6592592592592594e-05
22,5000,MOV,95044487,95045350,1.598148148148148e-05
23,5000,MOV,95910463,95911238,1.4351851851851851e-05
24,5000,MOV,96776433,96777299,1.6037037037037038e-05
25,5000,MOV,97642422,97643175,1.3944444444444444e-05
26,5000,MOV,98508355,98509210,1.5833333333333333e-05
27,5000,MOV,99374305,99375139,1.5444444444444443e-05
28,5000,MOV,100240267,100241115,1.5703703703703705e-05
29,5000,MOV,101106264,101107090,1.5296296296296296e-05
30,5000,CPY,119251795,119252620,1.5277777777777777e-05
31,5000,CPY,120117943,120118738,1.4722222222222222e-05
32,5000,CPY,120984052,120984844,1.4666666666666666e-05
33,5000,CPY,121850118,121850956,1.551851851851852e-05
34,5000,CPY,122716160,122717004,1.562962962962963e-05
35,5000,CPY,123582212,123582993,1.4462962962962963e-05
36,5000,CPY,124448289,124449057,1.4222222222222222e-05
37,5000,CPY,125314299,125315051,1.3925925925925926e-05
38,5000,CPY,126180355,126181122,1.4203703703703704e-05
39,5000,CPY,127046444,127047245,1.4833333333333334e-05
40,6000,MOV,136553727,136554811,2.0074074074074075e-05
41,6000,MOV,137421405,137422154,1.387037037037037e-05
42,6000,MOV,138287297,138288032,1.3611111111111111e-05
43,6000,MOV,139153358,139154110,1.3925925925925926e-05
44,6000,MOV,140019370,140020218,1.5703703703703705e-05
45,6000,MOV,140885350,140886077,1.3462962962962963e-05
46,6000,MOV,141751361,141752097,1.3629629629629629e-05
47,6000,MOV,142617391,142618145,1.3962962962962963e-05
48,6000,MOV,143483399,143484125,1.3444444444444445e-05
49,6000,MOV,144349641,144350419,1.4407407407407407e-05
50,6000,CPY,162494833,162495733,1.6666666666666667e-05
51,6000,CPY,163360872,163361934,1.9666666666666666e-05
52,6000,CPY,164227016,164227772,1.4e-05
53,6000,CPY,165093100,165093848,1.3851851851851851e-05
54,6000,CPY,165959213,165959966,1.3944444444444444e-05
55,6000,CPY,166825323,166826105,1.4481481481481481e-05
56,6000,CPY,167691437,167692226,1.461111111111111e-05
57,6000,CPY,168557519,168558305,1.4555555555555556e-05
58,6000,CPY,169423629,169424468,1.5537037037037036e-05
59,6000,CPY,170289704,170290452,1.3851851851851851e-05
60,7000,MOV,179798643,179799632,1.8314814814814814e-05
61,7000,MOV,180664660,180665540,1.6296296296296297e-05
62,7000,MOV,181530776,181531535,1.4055555555555556e-05
63,7000,MOV,182396784,182397554,1.4259259259259259e-05
64,7000,MOV,183262774,183263530,1.4e-05
65,7000,MOV,184128753,184129543,1.462962962962963e-05
66,7000,MOV,184994987,184995830,1.5611111111111113e-05
67,7000,MOV,185860755,185861544,1.461111111111111e-05
68,7000,MOV,186724966,186725739,1.4314814814814815e-05
69,7000,MOV,187592714,187593515,1.4833333333333334e-05
70,7000,CPY,205737879,205738713,1.5444444444444443e-05
71,7000,CPY,206603990,206604805,1.5092592592592593e-05
72,7000,CPY,207470358,207471155,1.4759259259259259e-05
73,7000,CPY,208336397,208337219,1.5222222222222223e-05
74,7000,CPY,209202525,209203391,1.6037037037037038e-05
75,7000,CPY,210068653,210069501,1.5703703703703705e-05
76,7000,CPY,210934816,210935594,1.4407407407407407e-05
77,7000,CPY,211800933,211801714,1.4462962962962963e-05
78,7000,CPY,212667067,212667846,1.4425925925925927e-05
79,7000,CPY,213533205,213534013,1.4962962962962964e-05
80,8000,MOV,223040321,223041392,1.9833333333333332e-05
81,8000,MOV,223908256,223909059,1.4870370370370371e-05
82,8000,MOV,224774240,224775295,1.9537037037037038e-05
83,8000,MOV,225640248,225641020,1.4296296296296297e-05
84,8000,MOV,226506176,226507003,1.5314814814814815e-05
85,8000,MOV,227372199,227373064,1.601851851851852e-05
86,8000,MOV,228238204,228238969,1.4166666666666666e-05
87,8000,MOV,229104140,229104905,1.4166666666666666e-05
88,8000,MOV,229970145,229970942,1.4759259259259259e-05
89,8000,MOV,230836089,230836839,1.388888888888889e-05
90,8000,CPY,248981135,248982065,1.7222222222222224e-05
91,8000,CPY,249847257,249848063,1.4925925925925925e-05
92,8000,CPY,250713416,250714274,1.5888888888888887e-05
93,8000,CPY,251579689,251580598,1.6833333333333334e-05
94,8000,CPY,252445842,252446622,1.4444444444444444e-05
95,8000,CPY,253312007,253312837,1.537037037037037e-05
96,8000,CPY,254178187,254179068,1.6314814814814816e-05
97,8000,CPY,255044331,255045150,1.5166666666666667e-05
98,8000,CPY,255910493,255911299,1.4925925925925925e-05
99,8000,CPY,256776658,256777491,1.5425925925925927e-05
100,9000,MOV,266283647,266284654,1.864814814814815e-05
101,9000,MOV,267151850,267152597,1.3833333333333334e-05
102,9000,MOV,268015517,268016293,1.437037037037037e-05
103,9000,MOV,268884035,268884875,1.5555555555555555e-05
104,9000,MOV,269749926,269750667,1.3722222222222222e-05
105,9000,MOV,270615927,270616687,1.4074074074074073e-05
106,9000,MOV,271481952,271482800,1.5703703703703705e-05
107,9000,MOV,272345634,272346400,1.4185185185185185e-05
108,9000,MOV,273213900,273214647,1.3833333333333334e-05
109,9000,MOV,274079921,274080687,1.4185185185185185e-05
110,9000,CPY,292224782,292225649,1.6055555555555557e-05
111,9000,CPY,293090938,293091804,1.6037037037037038e-05
112,9000,CPY,293957164,293957978,1.5074074074074074e-05
113,9000,CPY,294823361,294824492,2.0944444444444445e-05
114,9000,CPY,295689535,295690373,1.551851851851852e-05
115,9000,CPY,296555748,296556659,1.687037037037037e-05
116,9000,CPY,297421931,297422809,1.6259259259259258e-05
117,9000,CPY,298288115,298288911,1.4740740740740741e-05
118,9000,CPY,299154327,299155236,1.6833333333333334e-05
119,9000,CPY,300020504,300021339,1.5462962962962962e-05
120,10000,MOV,309529912,309530886,1.8037037037037036e-05
121,10000,MOV,310395918,310396780,1.5962962962962964e-05
122,10000,MOV,311261950,311262843,1.6537037037037036e-05
123,10000,MOV,312125389,312126240,1.575925925925926e-05
124,10000,MOV,312993994,312994764,1.4259259259259259e-05
125,10000,MOV,313859964,313860786,1.5222222222222223e-05
126,10000,MOV,314725959,314726793,1.5444444444444443e-05
127,10000,MOV,315591943,315592698,1.3981481481481482e-05
128,10000,MOV,316455421,316456201,1.4444444444444444e-05
129,10000,MOV,317321386,317322209,1.524074074074074e-05
130,10000,CPY,335468537,335469457,1.7037037037037038e-05
131,10000,CPY,336334699,336335536,1.55e-05
132,10000,CPY,337200857,337201665,1.4962962962962964e-05
133,10000,CPY,338067036,338067840,1.4888888888888888e-05
134,10000,CPY,338933461,338934263,1.4851851851851852e-05
135,10000,CPY,339799550,339800387,1.55e-05
136,10000,CPY,340665751,340666635,1.637037037037037e-05
137,10000,CPY,341531930,341532793,1.598148148148148e-05
138,10000,CPY,342398095,342398939,1.562962962962963e-05
139,10000,CPY,343264290,343265173,1.635185185185185e-05
140,11000,MOV,352773864,352774835,1.798148148148148e-05
141,11000,MOV,353639849,353640655,1.4925925925925925e-05
142,11000,MOV,354505832,354506628,1.4740740740740741e-05
143,11000,MOV,355371801,355372579,1.4407407407407407e-05
144,11000,MOV,356237733,356238789,1.9555555555555554e-05
145,11000,MOV,357103666,357104462,1.4740740740740741e-05
146,11000,MOV,357966911,357967696,1.4537037037037037e-05
147,11000,MOV,358835566,358836447,1.6314814814814816e-05
148,11000,MOV,359701542,359702326,1.451851851851852e-05
149,11000,MOV,360567698,360568487,1.461111111111111e-05
150,11000,CPY,378711974,378712839,1.601851851851852e-05
151,11000,CPY,379578198,379579069,1.612962962962963e-05
152,11000,CPY,380444423,380445318,1.6574074074074075e-05
153,11000,CPY,381310654,381311458,1.4888888888888888e-05
154,11000,CPY,382176905,382177748,1.5611111111111113e-05
