id,size,op,start_tick,end_tick,duration_s
0,1,MOV,6862282,6865728,6.381481481481482e-05
1,1,MOV,7693493,7696944,6.390740740740741e-05
2,1,MOV,8524744,8528271,6.531481481481481e-05
3,1,MOV,9355996,9359962,7.344444444444445e-05
4,1,MOV,10187466,10191624,7.7e-05
5,1,CPY,52419416,52423201,7.00925925925926e-05
6,1,CPY,53250780,53254784,7.414814814814815e-05
7,1,CPY,54082193,54086140,7.309259259259259e-05
8,1,CPY,54913889,54917395,6.492592592592593e-05
9,1,CPY,55745538,55749446,7.237037037037037e-05
10,1000,MOV,6823330,6826506,5.881481481481481e-05
11,1000,MOV,7690222,7694183,7.335185185185186e-05
12,1000,MOV,8557397,8561337,7.296296296296296e-05
13,1000,MOV,9424767,9428459,6.837037037037037e-05
14,1000,MOV,10291964,10295659,6.842592592592592e-05
15,1000,CPY,54359368,54364596,9.681481481481482e-05
16,1000,CPY,55226635,55231655,9.296296296296296e-05
17,1000,CPY,56093912,56098937,9.305555555555556e-05
18,1000,CPY,56961354,56966340,9.233333333333333e-05
19,1000,CPY,57828638,57833667,9.312962962962963e-05
20,10000,MOV,6822586,6825774,5.9037037037037036e-05
21,10000,MOV,7688766,7692840,7.544444444444444e-05
22,10000,MOV,8556737,8560333,6.659259259259259e-05
23,10000,MOV,9423415,9427583,7.718518518518518e-05
24,10000,MOV,10290943,10294240,6.105555555555556e-05
25,10000,CPY,54357706,54386955,0.0005416481481481482
26,10000,CPY,55225426,55253422,0.0005184444444444444
27,10000,CPY,56093240,56121146,0.0005167777777777778
28,10000,CPY,56961178,56989095,0.0005169814814814814
29,10000,CPY,57829041,57856894,0.0005157962962962963
30,25000,MOV,6857180,6860233,5.6537037037037036e-05
31,25000,MOV,7689209,7693208,7.405555555555556e-05
32,25000,MOV,8519468,8523654,7.751851851851851e-05
33,25000,MOV,9350593,9354458,7.157407407407408e-05
34,25000,MOV,10181962,10186347,8.120370370370371e-05
35,25000,CPY,52412744,52480108,0.0012474814814814816
36,25000,CPY,53245843,53312479,0.001234
37,25000,CPY,54079076,54145411,0.001228425925925926
38,25000,CPY,54912243,54978596,0.0012287592592592593
39,25000,CPY,55745447,55811750,0.0012278333333333334
