id,size,op,start_tick,end_tick,duration_s
0,1,MOV,6876048,6879021,5.505555555555555e-05
1,1,MOV,7742570,7744441,3.4648148148148145e-05
2,1,MOV,8609153,8610261,2.051851851851852e-05
3,1,MOV,9475491,9476529,1.922222222222222e-05
4,1,MOV,10341828,10343046,2.2555555555555556e-05
5,1,MOV,11208229,11209388,2.1462962962962962e-05
6,1,MOV,12074563,12075642,1.9981481481481482e-05
7,1,MOV,12940794,12941842,1.9407407407407407e-05
8,1,MOV,13807109,13808188,1.9981481481481482e-05
9,1,MOV,14673472,14674378,1.677777777777778e-05
10,1,CPY,32820208,32821522,2.4333333333333333e-05
11,1,CPY,33686491,33687372,1.6314814814814816e-05
12,1,CPY,34552724,34553674,1.759259259259259e-05
13,1,CPY,35418870,35419809,1.738888888888889e-05
14,1,CPY,36285533,36286545,1.8740740740740742e-05
15,1,CPY,37151574,37152476,1.6703703703703703e-05
16,1,CPY,38017653,38018563,1.6851851851851853e-05
17,1,CPY,38883798,38884777,1.8129629629629628e-05
18,1,CPY,39749953,39750821,1.6074074074074073e-05
19,1,CPY,40616182,40617020,1.551851851851852e-05
20,1000,MOV,50123936,50125345,2.609259259259259e-05
21,1000,MOV,50989970,50990988,1.885185185185185e-05
22,1000,MOV,51856165,51857161,1.8444444444444445e-05
23,1000,MOV,52722153,52723110,1.7722222222222222e-05
24,1000,MOV,53588204,53589301,2.0314814814814815e-05
25,1000,MOV,54454291,54455343,1.948148148148148e-05
26,1000,MOV,55320330,55321370,1.925925925925926e-05
27,1000,MOV,56186479,56187459,1.8148148148148147e-05
28,1000,MOV,57052242,57053268,1.9e-05
29,1000,MOV,57918452,57919482,1.9074074074074075e-05
30,1000,CPY,76064500,76065625,2.0833333333333333e-05
31,1000,CPY,76930563,76931593,1.9074074074074075e-05
32,1000,CPY,77796587,77797601,1.8777777777777777e-05
33,1000,CPY,78662631,78663553,1.7074074074074073e-05
34,1000,CPY,79528609,79529556,1.7537037037037037e-05
35,1000,CPY,80394612,80395563,1.761111111111111e-05
36,1000,CPY,81260934,81261948,1.8777777777777777e-05
37,1000,CPY,82126857,82127877,1.888888888888889e-05
