id,size,op,start_tick,end_tick,duration_s
0,1,MOV,6923397,6925561,4.007407407407407e-05
1,1,MOV,7789416,7790645,2.275925925925926e-05
2,1,MOV,8655457,8656507,1.9444444444444445e-05
3,1,MOV,9521559,9522765,2.2333333333333332e-05
4,1,MOV,10387759,10389034,2.361111111111111e-05
5,1,CPY,54454200,54455523,2.45e-05
6,1,CPY,55320190,55321285,2.0277777777777776e-05
7,1,CPY,56186134,56187319,2.1944444444444445e-05
8,1,CPY,57052286,57053365,1.9981481481481482e-05
9,1,CPY,57918376,57919507,2.0944444444444445e-05
10,1,MOV,6907836,6909821,3.675925925925926e-05
11,1,MOV,7737798,7738959,2.15e-05
12,1,MOV,8567699,8568881,2.1888888888888887e-05
13,1,MOV,9397726,9398819,2.024074074074074e-05
14,1,MOV,10227624,10228651,1.9018518518518517e-05
15,1,CPY,52457829,52459499,3.0925925925925924e-05
16,1,CPY,53287649,53289080,2.65e-05
17,1,CPY,54117456,54118899,2.672222222222222e-05
18,1,CPY,54947609,54949092,2.7462962962962963e-05
19,1,CPY,55777592,55779384,3.318518518518519e-05
20,1000,MOV,6979438,6981463,3.75e-05
21,1000,MOV,7845407,7846531,2.0814814814814813e-05
22,1000,MOV,8711340,8712478,2.1074074074074076e-05
23,1000,MOV,9577298,9578496,2.2185185185185185e-05
24,1000,MOV,10443272,10444389,2.0685185185185186e-05
25,1000,CPY,54509397,54511279,3.485185185185185e-05
26,1000,CPY,55375257,55376870,2.987037037037037e-05
27,1000,CPY,56241105,56242671,2.9e-05
28,1000,CPY,57106970,57108623,3.061111111111111e-05
29,1000,CPY,57972847,57974678,3.390740740740741e-05
30,10000,MOV,6898691,6901155,4.562962962962963e-05
31,10000,MOV,7764627,7766205,2.922222222222222e-05
32,10000,MOV,8630514,8632211,3.142592592592592e-05
33,10000,MOV,9496503,9497991,2.7555555555555555e-05
34,10000,MOV,10362417,10363966,2.8685185185185184e-05
35,10000,CPY,54428936,54436144,0.0001334814814814815
36,10000,CPY,55294700,55301046,0.00011751851851851852
37,10000,CPY,56160668,56166070,0.00010003703703703704
38,10000,CPY,57026607,57032020,0.00010024074074074073
39,10000,CPY,57892493,57898174,0.00010520370370370371
40,25000,MOV,6899888,6903314,6.344444444444445e-05
41,25000,MOV,7730028,7732326,4.2555555555555554e-05
42,25000,MOV,8560063,8562203,3.962962962962963e-05
43,25000,MOV,9390049,9392348,4.257407407407407e-05
44,25000,MOV,10219941,10222292,4.353703703703704e-05
45,25000,CPY,52450855,52466678,0.0002930185185185185
46,25000,CPY,53280536,53293916,0.00024777777777777775
47,25000,CPY,54110504,54125068,0.0002697037037037037
48,25000,CPY,54940470,54952871,0.00022964814814814815
49,25000,CPY,55770543,55783402,0.00023812962962962964
50,25000,MOV,6899888,6903314,6.344444444444445e-05
51,25000,MOV,7730028,7732326,4.2555555555555554e-05
52,25000,MOV,8560063,8562203,3.962962962962963e-05
53,25000,MOV,9390049,9392348,4.257407407407407e-05
54,25000,MOV,10219941,10222292,4.353703703703704e-05
55,25000,CPY,52450855,52466678,0.0002930185185185185
56,25000,CPY,53280536,53293916,0.00024777777777777775
57,25000,CPY,54110504,54125068,0.0002697037037037037
58,25000,CPY,54940470,54952871,0.00022964814814814815
59,25000,CPY,55770543,55783402,0.00023812962962962964
60,25000,MOV,6899888,6903314,6.344444444444445e-05
61,25000,MOV,7730028,7732326,4.2555555555555554e-05
62,25000,MOV,8560063,8562203,3.962962962962963e-05
63,25000,MOV,9390049,9392348,4.257407407407407e-05
64,25000,MOV,10219941,10222292,4.353703703703704e-05
65,25000,CPY,52450855,52466678,0.0002930185185185185
66,25000,CPY,53280536,53293916,0.00024777777777777775
67,25000,CPY,54110504,54125068,0.0002697037037037037
68,25000,CPY,54940470,54952871,0.00022964814814814815
69,25000,CPY,55770543,55783402,0.00023812962962962964
70,25000,MOV,6899888,6903314,6.344444444444445e-05
71,25000,MOV,7730028,7732326,4.2555555555555554e-05
72,25000,MOV,8560063,8562203,3.962962962962963e-05
73,25000,MOV,9390049,9392348,4.257407407407407e-05
74,25000,MOV,10219941,10222292,4.353703703703704e-05
75,25000,CPY,52450855,52466678,0.0002930185185185185
76,25000,CPY,53280536,53293916,0.00024777777777777775
77,25000,CPY,54110504,54125068,0.0002697037037037037
78,25000,CPY,54940470,54952871,0.00022964814814814815
79,25000,CPY,55770543,55783402,0.00023812962962962964
80,25000,MOV,6899888,6903314,6.344444444444445e-05
81,25000,MOV,7730028,7732326,4.2555555555555554e-05
82,25000,MOV,8560063,8562203,3.962962962962963e-05
83,25000,MOV,9390049,9392348,4.257407407407407e-05
84,25000,MOV,10219941,10222292,4.353703703703704e-05
85,25000,CPY,52450855,52466678,0.0002930185185185185
86,25000,CPY,53280536,53293916,0.00024777777777777775
87,25000,CPY,54110504,54125068,0.0002697037037037037
88,25000,CPY,54940470,54952871,0.00022964814814814815
89,25000,CPY,55770543,55783402,0.00023812962962962964
