id,size,op,start_tick,end_tick,duration_s
0,1000,CPY,11798102,11798911,1.4981481481481481e-05
1,1000,CPY,13456193,13456991,1.4777777777777778e-05
2,1000,CPY,15114290,15115079,1.461111111111111e-05
3,1000,CPY,16772336,16773116,1.4444444444444444e-05
4,1000,CPY,18430407,18431182,1.4351851851851851e-05
5,1000,CPY,20088444,20089159,1.324074074074074e-05
6,1000,CPY,21746528,21747533,1.861111111111111e-05
7,1000,CPY,23404561,23405377,1.511111111111111e-05
8,1000,CPY,25062548,25063280,1.3555555555555555e-05
9,1000,CPY,26720532,26721342,1.5e-05
10,1000,CPY,28378550,28379278,1.3481481481481482e-05
11,1000,CPY,30036552,30037335,1.45e-05
12,1000,CPY,31694562,31695361,1.4796296296296296e-05
13,1000,CPY,33352563,33353368,1.4907407407407408e-05
14,1000,CPY,35010551,35011351,1.4814814814814815e-05
15,1000,CPY,36668581,36669377,1.4740740740740741e-05
16,1000,CPY,38326605,38327341,1.3629629629629629e-05
17,1000,CPY,39984746,39985528,1.4481481481481481e-05
18,1000,CPY,41642818,41643536,1.3296296296296297e-05
19,1000,CPY,43300824,43301592,1.4222222222222222e-05
20,1000,CPY,44958823,44959529,1.3074074074074074e-05
21,1000,CPY,46616827,46617602,1.4351851851851851e-05
22,1000,CPY,48274835,48275634,1.4796296296296296e-05
23,1000,CPY,49932831,49933592,1.4092592592592592e-05
24,1000,CPY,51590867,51591663,1.4740740740740741e-05
25,1000,CPY,53248836,53249615,1.4425925925925927e-05
26,1000,CPY,54906830,54907636,1.4925925925925925e-05
27,1000,CPY,56565076,56565837,1.4092592592592592e-05
28,1000,CPY,58223015,58223720,1.3055555555555555e-05
29,1000,CPY,59881038,59881833,1.4722222222222222e-05
30,1000,MOV,12046231,12047151,1.7037037037037038e-05
31,1000,MOV,13776313,13777177,1.6e-05
32,1000,MOV,15506436,15507331,1.6574074074074075e-05
33,1000,MOV,17236557,17237447,1.6481481481481482e-05
34,1000,MOV,18966349,18967232,1.635185185185185e-05
35,1000,MOV,20696732,20697593,1.5944444444444445e-05
36,1000,MOV,22426530,22427635,2.0462962962962962e-05
37,1000,MOV,24156766,24157635,1.6092592592592592e-05
38,1000,MOV,25886864,25887728,1.6e-05
39,1000,MOV,27616955,27617836,1.6314814814814816e-05
40,1000,MOV,29346921,29347768,1.5685185185185186e-05
41,1000,MOV,31077003,31077780,1.4388888888888888e-05
42,1000,MOV,32807021,32807868,1.5685185185185186e-05
43,1000,MOV,34537055,34537884,1.535185185185185e-05
44,1000,MOV,36267105,36267959,1.5814814814814814e-05
45,1000,MOV,37996862,37997705,1.5611111111111113e-05
46,1000,MOV,39727158,39728005,1.5685185185185186e-05
47,1000,MOV,41457304,41458124,1.5185185185185186e-05
48,1000,MOV,43187435,43188305,1.611111111111111e-05
49,1000,MOV,44917484,44918311,1.5314814814814815e-05
50,1000,MOV,46647511,46648377,1.6037037037037038e-05
51,1000,MOV,48377551,48378387,1.548148148148148e-05
52,1000,MOV,50107614,50108494,1.6296296296296297e-05
53,1000,MOV,51837634,51838501,1.6055555555555557e-05
54,1000,MOV,53567676,53568479,1.4870370370370371e-05
55,1000,MOV,55297724,55298589,1.601851851851852e-05
56,1000,MOV,57027749,57028590,1.5574074074074074e-05
57,1000,MOV,58758067,58758921,1.5814814814814814e-05
58,1000,MOV,60488009,60488834,1.5277777777777777e-05
59,1000,MOV,62218067,62218897,1.537037037037037e-05
60,2000,CPY,11802115,11802932,1.512962962962963e-05
61,2000,CPY,13460221,13461019,1.4777777777777778e-05
62,2000,CPY,15118355,15119139,1.451851851851852e-05
63,2000,CPY,16776486,16777292,1.4925925925925925e-05
64,2000,CPY,18434589,18435355,1.4185185185185185e-05
65,2000,CPY,20092716,20093500,1.451851851851852e-05
