id,size,op,start_tick,end_tick,duration_s
0,100,CPY,11779405,11780244,1.5537037037037036e-05
1,100,CPY,13438061,13439128,1.975925925925926e-05
2,100,CPY,15096619,15097664,1.9351851851851853e-05
3,100,CPY,16755071,16755918,1.5685185185185186e-05
4,100,CPY,18413674,18414548,1.6185185185185185e-05
5,100,CPY,20072147,20073139,1.837037037037037e-05
6,100,CPY,21730873,21731748,1.6203703703703704e-05
7,100,CPY,23389409,23390753,2.488888888888889e-05
8,100,CPY,25047984,25048722,1.3666666666666667e-05
9,100,CPY,26706199,26707013,1.5074074074074074e-05
10,100,CPY,28364482,28365299,1.512962962962963e-05
11,100,CPY,30022859,30023731,1.614814814814815e-05
12,100,CPY,31681313,31682119,1.4925925925925925e-05
13,100,CPY,33339731,33340601,1.611111111111111e-05
14,100,CPY,34998083,34999004,1.7055555555555554e-05
15,100,CPY,36656470,36657412,1.7444444444444444e-05
16,100,CPY,38314893,38315710,1.512962962962963e-05
17,100,CPY,39973325,39974045,1.3333333333333333e-05
18,100,CPY,41631698,41632426,1.3481481481481482e-05
19,100,CPY,43290073,43290881,1.4962962962962964e-05
20,100,CPY,44948506,44949469,1.7833333333333334e-05
21,100,CPY,46606882,46607696,1.5074074074074074e-05
22,100,CPY,48265273,48266154,1.6314814814814816e-05
23,100,CPY,49923686,49924656,1.7962962962962962e-05
24,100,CPY,51582069,51582806,1.3648148148148148e-05
25,100,CPY,53240473,53241229,1.4e-05
26,100,CPY,54898821,54899557,1.3629629629629629e-05
27,100,CPY,56557172,56557978,1.4925925925925925e-05
28,100,CPY,58215454,58216254,1.4814814814814815e-05
29,100,CPY,59873845,59874707,1.5962962962962964e-05
30,100,MOV,11765301,11766135,1.5444444444444443e-05
31,100,MOV,13423592,13424573,1.8166666666666667e-05
32,100,MOV,15081936,15082912,1.8074074074074074e-05
33,100,MOV,16740275,16741193,1.7e-05
34,100,MOV,18398585,18399400,1.5092592592592593e-05
35,100,MOV,20056889,20057700,1.5018518518518518e-05
36,100,MOV,21715235,21715984,1.387037037037037e-05
37,100,MOV,23373623,23374487,1.6e-05
38,100,MOV,25032024,25032974,1.759259259259259e-05
39,100,MOV,26690587,26691815,2.274074074074074e-05
40,100,MOV,28349210,28350141,1.724074074074074e-05
41,100,MOV,30007245,30008249,1.8592592592592592e-05
42,100,MOV,31665410,31666236,1.5296296296296296e-05
43,100,MOV,33323662,33324494,1.5407407407407408e-05
44,100,MOV,34982001,34982823,1.5222222222222223e-05
45,100,MOV,36640189,36641178,1.8314814814814814e-05
46,100,MOV,38298335,38299190,1.5833333333333333e-05
47,100,MOV,39956594,39957397,1.4870370370370371e-05
48,100,MOV,41614851,41615638,1.4574074074074074e-05
49,100,MOV,43273070,43273914,1.562962962962963e-05
50,100,MOV,44931305,44932159,1.5814814814814814e-05
51,100,MOV,46589551,46590407,1.5851851851851852e-05
52,100,MOV,48247788,48248792,1.8592592592592592e-05
53,100,MOV,49905958,49906826,1.6074074074074073e-05
54,100,MOV,51564113,51565011,1.662962962962963e-05
55,100,MOV,53222770,53223867,2.0314814814814815e-05
56,100,MOV,54880810,54881663,1.5796296296296295e-05
57,100,MOV,56539055,56539915,1.5925925925925926e-05
58,100,MOV,58197311,58198239,1.7185185185185185e-05
59,100,MOV,59855555,59856367,1.5037037037037037e-05
60,200,CPY,11767445,11768452,1.864814814814815e-05
61,200,CPY,13426065,13426999,1.7296296296296297e-05
62,200,CPY,15084651,15085746,2.0277777777777776e-05
63,200,CPY,16742980,16743950,1.7962962962962962e-05
64,200,CPY,18401563,18402566,1.8574074074074073e-05
65,200,CPY,20060112,20061081,1.7944444444444443e-05
66,200,CPY,21718705,21719598,1.6537037037037036e-05
67,200,CPY,23377153,23378225,1.985185185185185e-05
68,200,CPY,25035701,25036610,1.6833333333333334e-05
69,200,CPY,26694036,26694906,1.611111111111111e-05
70,200,CPY,28352432,28353231,1.4796296296296296e-05
71,200,CPY,30010700,30011583,1.635185185185185e-05
72,200,CPY,31669110,31669959,1.572222222222222e-05
73,200,CPY,33327501,33328245,1.3777777777777778e-05
74,200,CPY,34985857,34986758,1.6685185185185187e-05
