id,size,op,start_tick,end_tick,duration_s
0,1,CPY,11831898,11834380,4.596296296296296e-05
1,1,CPY,13490073,13492482,4.461111111111111e-05
2,1,CPY,15148276,15150512,4.140740740740741e-05
3,1,CPY,16806617,16808946,4.312962962962963e-05
4,1,CPY,18465205,18467573,4.385185185185185e-05
5,1,CPY,20123579,20126028,4.5351851851851854e-05
6,1,CPY,21781854,21784408,4.72962962962963e-05
7,1,CPY,23440303,23442708,4.4537037037037036e-05
8,1,CPY,25098749,25101233,4.6e-05
9,1,CPY,26756991,26759287,4.2518518518518515e-05
10,1,CPY,28415424,28417761,4.3277777777777776e-05
11,1,CPY,30073689,30076340,4.9092592592592595e-05
12,1,CPY,31731940,31734262,4.3e-05
13,1,CPY,33390330,33392849,4.6648148148148146e-05
14,1,CPY,35048550,35051037,4.605555555555556e-05
15,1,CPY,36706853,36709259,4.4555555555555555e-05
16,1,CPY,38365278,38367611,4.3203703703703706e-05
17,1,CPY,40023566,40026029,4.561111111111111e-05
18,1,CPY,41681922,41684374,4.5407407407407405e-05
19,1,CPY,43340583,43342826,4.153703703703704e-05
20,1,CPY,44998810,45001241,4.5018518518518515e-05
21,1,CPY,46657105,46659408,4.264814814814815e-05
22,1,CPY,48315384,48317760,4.4e-05
23,1,CPY,49973729,49976009,4.222222222222222e-05
24,1,CPY,51632151,51634647,4.6222222222222224e-05
25,1,CPY,53290352,53292535,4.0425925925925925e-05
26,1,CPY,54948593,54951248,4.9166666666666665e-05
27,1,CPY,56606806,56609170,4.3777777777777775e-05
28,1,CPY,58265235,58267655,4.481481481481482e-05
29,1,CPY,59923477,59925807,4.314814814814815e-05
30,1,MOV,12055660,12058120,4.555555555555555e-05
31,1,MOV,13785960,13788497,4.6981481481481485e-05
32,1,MOV,15516254,15518721,4.568518518518519e-05
33,1,MOV,17246503,17249156,4.912962962962963e-05
34,1,MOV,18976698,18979196,4.625925925925926e-05
35,1,MOV,20706932,20709456,4.674074074074074e-05
36,1,MOV,22437151,22439637,4.603703703703704e-05
37,1,MOV,24167444,24169761,4.2907407407407406e-05
38,1,MOV,25897782,25900202,4.481481481481482e-05
39,1,MOV,27628254,27630680,4.4925925925925926e-05
40,1,MOV,29358641,29361326,4.972222222222222e-05
41,1,MOV,31088864,31091079,4.101851851851852e-05
42,1,MOV,32819149,32821363,4.1e-05
43,1,MOV,34549540,34552080,4.7037037037037036e-05
44,1,MOV,36279997,36282187,4.055555555555555e-05
45,1,MOV,38010419,38012947,4.681481481481481e-05
46,1,MOV,39740728,39743237,4.646296296296296e-05
47,1,MOV,41471407,41473948,4.7055555555555555e-05
48,1,MOV,43201632,43204211,4.775925925925926e-05
49,1,MOV,44931843,44934335,4.614814814814815e-05
50,1,MOV,46662069,46664511,4.522222222222222e-05
51,1,MOV,48392296,48394875,4.775925925925926e-05
52,1,MOV,50122497,50125013,4.6592592592592595e-05
53,1,MOV,51852670,51855088,4.477777777777778e-05
54,1,MOV,53583005,53585623,4.848148148148148e-05
55,1,MOV,55313197,55315560,4.375925925925926e-05
56,1,MOV,57043426,57045787,4.3722222222222224e-05
57,1,MOV,58773800,58776352,4.725925925925926e-05
58,1,MOV,60504056,60506530,4.5814814814814815e-05
59,1,MOV,62234259,62236588,4.312962962962963e-05
60,2,CPY,11795137,11799621,8.303703703703704e-05
61,2,CPY,13453820,13458447,8.568518518518518e-05
62,2,CPY,15111835,15116169,8.025925925925926e-05
63,2,CPY,16770342,16774913,8.464814814814815e-05
64,2,CPY,18428559,18432965,8.159259259259259e-05
65,2,CPY,20086766,20092311,0.00010268518518518519
66,2,CPY,21745104,21750128,9.303703703703704e-05
67,2,CPY,23403430,23408111,8.668518518518518e-05
68,2,CPY,25061665,25066881,9.659259259259259e-05
69,2,CPY,26720104,26725316,9.651851851851851e-05
70,2,CPY,28378483,28383273,8.87037037037037e-05
71,2,CPY,30036811,30041757,9.159259259259259e-05
72,2,CPY,31695046,31699967,9.112962962962963e-05
73,2,CPY,33353388,33358098,8.722222222222222e-05
74,2,CPY,35011605,35016673,9.385185185185185e-05
75,2,CPY,36670071,36674519,8.237037037037037e-05
76,2,CPY,38328322,38333337,9.287037037037037e-05
77,2,CPY,39986547,39991435,9.051851851851852e-05
78,2,CPY,41645027,41649607,8.481481481481481e-05
79,2,CPY,43303426,43308627,9.631481481481481e-05
80,2,CPY,44961599,44966247,8.607407407407408e-05
81,2,CPY,46620040,46624649,8.535185185185185e-05
82,2,CPY,48278457,48283852,9.99074074074074e-05
83,2,CPY,49936690,49941580,9.055555555555556e-05
84,2,CPY,51595064,51599269,7.787037037037037e-05
85,2,CPY,53253413,53258072,8.627777777777777e-05
86,2,CPY,54911755,54917358,0.00010375925925925926
87,2,CPY,56570090,56574636,8.418518518518519e-05
88,2,CPY,58228502,58233217,8.731481481481482e-05
89,2,CPY,59886698,59891233,8.398148148148148e-05
90,2,MOV,11763754,11768801,9.346296296296296e-05
91,2,MOV,13422217,13426730,8.357407407407407e-05
92,2,MOV,15080474,15085585,9.464814814814815e-05
93,2,MOV,16738877,16743876,9.257407407407408e-05
94,2,MOV,18397399,18402083,8.674074074074074e-05
95,2,MOV,20055685,20060930,9.712962962962963e-05
96,2,MOV,21714257,21719002,8.787037037037037e-05
97,2,MOV,23372601,23377128,8.383333333333333e-05
98,2,MOV,25031161,25035893,8.762962962962963e-05
99,2,MOV,26689637,26694289,8.614814814814814e-05
100,2,MOV,28348183,28352935,8.8e-05
101,2,MOV,30006448,30011671,9.672222222222222e-05
102,2,MOV,31664783,31669356,8.468518518518519e-05
103,2,MOV,33323286,33328551,9.75e-05
104,2,MOV,34981720,34987125,0.0001000925925925926
105,2,MOV,36640003,36645362,9.924074074074074e-05
106,2,MOV,38298404,38303500,9.437037037037037e-05
107,2,MOV,39956758,39962005,9.716666666666667e-05
108,2,MOV,41615118,41620212,9.433333333333333e-05
109,2,MOV,43273779,43278413,8.581481481481481e-05
110,2,MOV,44932242,44937326,9.414814814814815e-05
111,2,MOV,46590528,46595081,8.431481481481482e-05
112,2,MOV,48248898,48254070,9.577777777777777e-05
113,2,MOV,49907169,49912704,0.0001025
114,2,MOV,51565628,51570856,9.681481481481482e-05
115,2,MOV,53224204,53228604,8.148148148148148e-05
116,2,MOV,54882747,54887404,8.624074074074075e-05
117,2,MOV,56541226,56545945,8.738888888888888e-05
118,2,MOV,58199795,58204007,7.8e-05
119,2,MOV,59858035,59862424,8.127777777777777e-05
120,4,CPY,11986180,11996815,0.00019694444444444444
121,4,CPY,13716512,13726469,0.00018438888888888888
122,4,CPY,15446995,15457276,0.0001903888888888889
123,4,CPY,17177294,17187212,0.00018366666666666667
124,4,CPY,18907675,18918222,0.0001953148148148148
125,4,CPY,20638238,20649420,0.00020707407407407407
126,4,CPY,22368578,22379199,0.00019668518518518518
127,4,CPY,24098842,24109456,0.00019655555555555556
128,4,CPY,25829488,25839483,0.0001850925925925926
129,4,CPY,27559534,27569248,0.00017988888888888888
130,4,CPY,29289815,29299475,0.00017888888888888889
131,4,CPY,31020247,31030082,0.00018212962962962963
132,4,CPY,32750829,32761150,0.00019112962962962964
133,4,CPY,34481194,34491868,0.00019766666666666666
134,4,CPY,36211483,36222021,0.00019514814814814815
135,4,CPY,37942009,37952443,0.00019322222222222223
136,4,CPY,39672394,39682637,0.00018968518518518518
137,4,CPY,41402720,41412934,0.00018914814814814814
138,4,CPY,43132985,43143194,0.00018905555555555556
139,4,CPY,44863321,44873450,0.00018757407407407408
140,4,CPY,46593578,46603726,0.00018792592592592594
141,4,CPY,48323947,48333360,0.0001743148148148148
142,4,CPY,50054289,50064477,0.00018866666666666665
143,4,CPY,51784551,51794956,0.0001926851851851852
144,4,CPY,53514796,53524397,0.00017779629629629629
145,4,CPY,55245660,55255026,0.00017344444444444444
146,4,CPY,56975722,56985657,0.00018398148148148147
147,4,CPY,58705982,58715468,0.00017566666666666666
148,4,CPY,60436241,60445780,0.00017664814814814816
149,4,CPY,62166474,62176849,0.00019212962962962963
150,4,MOV,11803995,11813881,0.00018307407407407408
151,4,MOV,13462336,13472462,0.00018751851851851853
152,4,MOV,15120640,15131257,0.0001966111111111111
153,4,MOV,16778936,16789093,0.0001880925925925926
154,4,MOV,18437270,18447610,0.0001914814814814815
155,4,MOV,20095642,20106782,0.0002062962962962963
156,4,MOV,21754222,21764266,0.000186
157,4,MOV,23412521,23422766,0.00018972222222222223
158,4,MOV,25071127,25081866,0.00019887037037037036
159,4,MOV,26729361,26740271,0.00020203703703703703
160,4,MOV,28387724,28398728,0.00020377777777777777
161,4,MOV,30046165,30056973,0.00020014814814814814
162,4,MOV,31704467,31714346,0.00018294444444444445
163,4,MOV,33362805,33373631,0.00020048148148148147
164,4,MOV,35021222,35032291,0.00020498148148148147
165,4,MOV,36679554,36690449,0.00020175925925925925
166,4,MOV,38338005,38348945,0.0002025925925925926
167,4,MOV,39996417,40007601,0.00020711111111111112
168,4,MOV,41654851,41665109,0.00018996296296296296
169,4,MOV,43313168,43324041,0.00020135185185185187
170,4,MOV,44971612,44982508,0.00020177777777777777
171,4,MOV,46629972,46640582,0.00019648148148148148
172,4,MOV,48288450,48298834,0.00019229629629629629
173,4,MOV,49946756,49956806,0.00018611111111111112
174,4,MOV,51605063,51615506,0.00019338888888888889
175,4,MOV,53263773,53273258,0.00017564814814814814
176,4,MOV,54922074,54932065,0.00018501851851851852
177,4,MOV,56580357,56591392,0.00020435185185185186
178,4,MOV,58238768,58249483,0.00019842592592592592
179,4,MOV,59897189,59908104,0.00020212962962962963
180,8,CPY,12032002,12052844,0.00038596296296296295
181,8,CPY,13762186,13783076,0.0003868518518518519
182,8,CPY,15492382,15512801,0.00037812962962962963
183,8,CPY,17222559,17242937,0.00037737037037037036
184,8,CPY,18952720,18972524,0.0003667407407407407
185,8,CPY,20683188,20702709,0.0003615
186,8,CPY,22413246,22433362,0.0003725185185185185
187,8,CPY,24143416,24163757,0.0003766851851851852
188,8,CPY,25873596,25893768,0.0003735555555555556
189,8,CPY,27603744,27624382,0.00038218518518518517
190,8,CPY,29333906,29354296,0.0003775925925925926
191,8,CPY,31064125,31083086,0.0003511296296296296
192,8,CPY,32794281,32814545,0.00037525925925925926
193,8,CPY,34524473,34545612,0.000391462962962963
194,8,CPY,36254619,36276062,0.0003970925925925926
195,8,CPY,37984828,38005086,0.00037514814814814816
196,8,CPY,39714966,39735120,0.0003732222222222222
197,8,CPY,41445138,41466119,0.00038853703703703706
198,8,CPY,43175286,43196148,0.0003863333333333333
199,8,CPY,44905468,44926038,0.00038092592592592594
200,8,CPY,46635630,46655726,0.00037214814814814814
201,8,CPY,48365756,48387294,0.00039885185185185184
202,8,CPY,50095915,50115985,0.0003716666666666667
203,8,CPY,51826072,51846598,0.0003801111111111111
204,8,CPY,53556234,53576421,0.00037383333333333333
205,8,CPY,55286398,55307472,0.00039025925925925925
206,8,CPY,57016573,57036486,0.00036875925925925927
207,8,CPY,58746728,58767124,0.0003777037037037037
208,8,CPY,60476991,60496123,0.0003542962962962963
209,8,CPY,62207169,62227303,0.00037285185185185186
210,8,MOV,11766127,11785689,0.00036225925925925927
211,8,MOV,13424356,13444135,0.00036627777777777776
212,8,MOV,15082618,15102038,0.0003596296296296296
213,8,MOV,16740893,16760541,0.00036385185185185186
214,8,MOV,18399123,18419251,0.00037274074074074076
215,8,MOV,20057644,20077898,0.00037507407407407406
216,8,MOV,21715781,21735379,0.00036292592592592594
217,8,MOV,23374011,23394818,0.00038531481481481484
218,8,MOV,25032257,25052125,0.00036792592592592595
219,8,MOV,26690496,26710019,0.00036153703703703706
220,8,MOV,28348707,28368537,0.00036722222222222223
221,8,MOV,30006934,30026332,0.0003592222222222222
222,8,MOV,31665157,31684921,0.000366
223,8,MOV,33323347,33343441,0.0003721111111111111
224,8,MOV,34981564,35002350,0.00038492592592592593
225,8,MOV,36639793,36659246,0.0003602407407407407
226,8,MOV,38298000,38318151,0.00037316666666666667
227,8,MOV,39956402,39975713,0.0003576111111111111
228,8,MOV,41614657,41635069,0.000378
229,8,MOV,43272967,43292629,0.0003641111111111111
230,8,MOV,44931236,44951422,0.00037381481481481483
231,8,MOV,46589471,46608737,0.0003567777777777778
232,8,MOV,48247941,48267460,0.00036146296296296295
